finding_id,master_id,predictor_category,predictor,measurement_and_cutoff,preoperative_timing,outcome_domain,outcome_definition,response_definition_class,follow_up_category,reference_standard,association_direction,adjusted_or_unadjusted,covariates,studies_k,participants_n,synthesis_type,narrative_or_quantitative_result,evidence_type,clinical_interpretation,pdf,page_or_table,source_component
F-0161,FT-049,Neuroimaging,Perfusion imaging,Study-specific imaging metric,Preoperative,Global response,Surgical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Among 16 outcome studies,NR,NARRATIVE EVIDENCE REVIEW,"Selected studies linked perfusion patterns to outcome, but small samples and method heterogeneity.",RESPONSE_CLASSIFIER,Imaging may support diagnosis/phenotyping but is not a sole exclusion test.,MESCLADOS 3,M3 pp.31-45,SYSTEMATIC_REVIEW_COMPONENT
F-0162,FT-049,Neuroimaging,Multimodal imaging,Study-specific imaging metric,Preoperative,Global response,Surgical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MIXED,UNADJUSTED/NR,NR,Among 16 outcome studies,NR,NARRATIVE EVIDENCE REVIEW,No validated combination with reproducible external performance.,RESPONSE_CLASSIFIER,Imaging may support diagnosis/phenotyping but is not a sole exclusion test.,MESCLADOS 3,M3 pp.31-45,SYSTEMATIC_REVIEW_COMPONENT
F-0163,FT-050,Supplemental prognostic test,40-50 mL tap test,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,Positive response has high PPV; sensitivity 26%-61%.,RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0164,FT-050,Supplemental prognostic test,Infusion test/Rout,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,Sensitivity 57%-100%; PPV 75%-92% across heterogeneous studies.,RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0165,FT-050,Supplemental prognostic test,Extended lumbar drainage >300 mL,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,"Sensitivity 50%-100%; PPV 80%-100%, with procedural risks.",RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0166,FT-050,Supplemental prognostic test,Structural CT/MRI,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,Limited prognostic value beyond confirming communicating hydrocephalus.,RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0167,FT-050,Supplemental prognostic test,Radionuclide cisternography,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,Insufficient incremental value.,RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0168,FT-050,Supplemental prognostic test,Intracranial pressure monitoring,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,Potentially supportive; methods/thresholds heterogeneous.,RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0169,FT-050,Supplemental prognostic test,Negative supplemental test,Guideline evidence synthesis,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/VARIABLE,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE EVIDENCE REVIEW,No test was adequate as an exclusionary rule-out.,RESPONSE_CLASSIFIER,Use positive findings to increase confidence; do not deny shunt on a negative result alone.,MESCLADOS 2,M2 pp.88-99,SYSTEMATIC_REVIEW_COMPONENT
F-0170,FT-051,Outcome measurement,Global improvement definitions,"Study-specific, often subjective",Preoperative,Global response,Post-shunt outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt status,NONSTANDARD,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE REVIEW,No validated universal outcome scale; improvement rates were not synonymous with overall outcome.,OUTCOME_MEASUREMENT,"Explicitly define domain, threshold and assessor.",MESCLADOS 2,M2 pp.10-22,SYSTEMATIC_REVIEW_COMPONENT
F-0171,FT-051,Outcome measurement,Follow-up schedule,"Recommended 3, 6 and 12 months; longer-term evaluation",Preoperative,Global/function,Post-shunt outcome,CLINICAL_JUDGMENT,LONGO,Post-shunt status,TIME-DEPENDENT,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE REVIEW,One-year follow-up was proposed as a key determinant because comorbidity increasingly confounds later outcomes.,OUTCOME_MEASUREMENT,"Report short-, intermediate- and long-term outcomes separately.",MESCLADOS 2,M2 pp.19-21,SYSTEMATIC_REVIEW_COMPONENT
F-0172,FT-051,Outcome measurement,Functional status and quality of life,Patient/family judgment plus formal scales,Preoperative,Function/quality of life,Post-shunt benefit,PATIENT_CAREGIVER_REPORT,INDETERMINADO,Post-shunt status,UNDERMEASURED,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE REVIEW,Functional and social gains were clinically important but rarely systematically incorporated.,OUTCOME_MEASUREMENT,Include patient/caregiver and independence outcomes.,MESCLADOS 2,M2 pp.19-21,SYSTEMATIC_REVIEW_COMPONENT
F-0173,FT-051,Outcome measurement,Complications/revisions and net benefit,Shunt complications and comorbidity,Preoperative,Complications/net benefit,Risk-benefit after shunt,AUTHOR_DEFINED,LONGO,Post-shunt status,ESSENTIAL COMPONENT,UNADJUSTED/NR,NR,NÃO EXTRAÍVEL,NR,GUIDELINE REVIEW,"Outcome assessment should distinguish symptom response, shunt-related morbidity, reoperation and comorbidity-related decline.",OUTCOME_MEASUREMENT,"Counsel on net benefit, not response alone.",MESCLADOS 2,M2 pp.10-22,SYSTEMATIC_REVIEW_COMPONENT
F-0174,FT-053,Predictor/outcome,Complete triad with early gait disturbance,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,"Suggestive of better shunt responsiveness, based mainly on low-grade series.",RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0175,FT-053,Predictor/outcome,Degree of hydrocephalus,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,Not correlated with clinical improvement.,RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0176,FT-053,Predictor/outcome,Enlarged subcortical low-flow area,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,Correlated with improvement in three small studies.,RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0177,FT-053,Predictor/outcome,Prolonged CSF drainage response,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,Predicted shunt outcome in all cases in two small series.,RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0178,FT-053,Predictor/outcome,Radioisotope cisternography,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,"Pooled sensitivity 73.5%, specificity 30.0%, PPV 54.3%, NPV 50.0%; weak discriminator.",RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0179,FT-053,Predictor/outcome,CSF outflow conductance/resistance,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,Threshold performance varied and was not consistently predictive.,RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0180,FT-053,Predictor/outcome,Tap test,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,Positive response could be supportive; sensitivity/NPV inadequate.,RESPONSE_CLASSIFIER,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0181,FT-053,Predictor/outcome,Clinical improvement rate and complications,Study-specific,Preoperative,Global/function,Post-shunt response or net outcome,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,MIXED,UNADJUSTED/NR,NR,35,883,POOLED DESCRIPTIVE/ACCURACY TABLES,59% improved overall; 29% prolonged improvement; complications and additional surgery common.,OUTCOME_MEASUREMENT,Most evidence was low grade; no single reliable predictor.,MESCLADOS 1,M1 pp.205-224,SYSTEMATIC_REVIEW_COMPONENT
F-0182,FT-056,Outcome measurement,Pressure-sensitive platforms/motion capture,Spatiotemporal and kinematic gait metrics,Preoperative,Gait,Cross-sectional differences and treatment-related change,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Controls or pre/post intervention,SENSITIVE BUT NONSTANDARD,UNADJUSTED/NR,NR,41,NR,SYSTEMATIC NARRATIVE,Technologies detected NPH-specific gait abnormalities; longitudinal prognostic data were limited.,OUTCOME_MEASUREMENT,Useful for objective phenotyping; thresholds need validation.,MESCLADOS 3,M3 pp.215-241,SYSTEMATIC_REVIEW_COMPONENT
F-0183,FT-056,Outcome measurement,Posturography/force-platform balance metrics,Center-of-pressure and stability measures,Preoperative,Balance,Cross-sectional or pre/post change,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Controls/pre-post,SENSITIVE BUT HETEROGENEOUS,UNADJUSTED/NR,NR,17,NR,SYSTEMATIC NARRATIVE,"Balance abnormalities were measurable, but methods and tasks varied.",OUTCOME_MEASUREMENT,Balance should be reported separately from gait speed.,MESCLADOS 3,M3 pp.215-241,SYSTEMATIC_REVIEW_COMPONENT
F-0184,FT-056,Wearable sensor,Inertial sensors,Laboratory and limited wearable gait measures,Preoperative,Gait/mobility,Treatment response/prognosis,NOT_REPORTED,INDETERMINADO,Pre/post intervention,PROMISING,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,Wearables may capture turning and real-world gait but lacked validated response cutoffs.,OUTCOME_MEASUREMENT,Promising for scalable monitoring; not yet a surgical classifier.,MESCLADOS 3,M3 pp.215-241,SYSTEMATIC_REVIEW_COMPONENT
F-0185,FT-056,Prognostic validity,Longitudinal instrumented gait/balance,Repeated objective measures,Preoperative,Gait/balance,Long-term shunt response,NOT_REPORTED,LONGO,Post-shunt outcome,INSUFFICIENT,UNADJUSTED/NR,NR,Few,NR,NARRATIVE,Absence of longitudinal data prevented definitive prognostic conclusions.,OUTCOME_MEASUREMENT,Prospective repeated-measure studies are a priority.,MESCLADOS 3,M3 pp.215-241,SYSTEMATIC_REVIEW_COMPONENT
F-0186,FT-059,Guideline predictor,Elevated resistance to CSF outflow (Ro),Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Associated with increased chance of shunt response (1 Class I; multiple Class II).,RESPONSE_CLASSIFIER,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0187,FT-059,Guideline predictor,Impaired CBF reactivity to acetazolamide by SPECT,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Predicted response in one Class I study.,RESPONSE_CLASSIFIER,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0188,FT-059,Guideline predictor,Positive external lumbar drainage,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Increased chance of response (Class III).,RESPONSE_CLASSIFIER,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0189,FT-059,Guideline predictor,Positive response to repeated lumbar punctures,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Increased chance of response (Level C recommendation).,RESPONSE_CLASSIFIER,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0190,FT-059,Guideline predictor,Increasing age,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,May not decrease chance of shunt success (Class II).,PROGNOSTIC_FACTOR,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0191,FT-059,Guideline predictor,Radionuclide cisternography,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Insufficient evidence.,RESPONSE_CLASSIFIER,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0192,FT-059,Guideline predictor,Aqueductal flow by MRI,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Insufficient evidence.,RESPONSE_CLASSIFIER,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-0193,FT-059,Guideline predictor,Alzheimer pathology/comorbidity,Study-specific threshold/method,Preoperative,Global/gait,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,SUPPORTIVE/INSUFFICIENT,UNADJUSTED/NR,NR,Evidence class reported,NR,AAN EVIDENCE REVIEW,Evidence insufficient/inconsistent to determine response; potential spectrum/confounding concerns.,PROGNOSTIC_FACTOR,"Guideline-level association, not proof of causal treatment-effect modification.",MESCLADOS 1,M1 pp.182-189,SYSTEMATIC_REVIEW_COMPONENT
F-019-SURV,FT-019,Clinical factor,Baseline gait score; continence score; mRS,Gait 1–4 vs ≥5; continence 1–3 vs ≥4; mRS 0–2 vs ≥3,Preoperative/baseline,Survival,Overall survival after VP shunt,TIME_TO_EVENT,LONGO,All-cause mortality after shunting,WORSE BASELINE STATUS ASSOCIATED WITH SHORTER SURVIVAL,Reconstructed IPD; pooled time-to-event comparison,Limited,2,1043,RECONSTRUCTED_IPD_META_ANALYSIS,HR 2.25 for worse gait; 1.66 for worse continence; 2.21 for mRS ≥3.,PROGNOSTIC_FACTOR,Supports counseling and long-term risk stratification; does not prove that earlier shunting causally improves survival.,MESCLADOS 3,M3 pp.181–193; Fig.2/Table 1,SYSTEMATIC_REVIEW_COMPONENT
